Name,GP,MIN,FGA,FG%,EFG%,FTM,FT%,OREB,DREB,AST,STL,BLK,TOV,Target
Brandon Ingram,36,27.4,7.6,34.7,37.5,1.6,69.9,0.7,3.4,1.9,0.4,0.4,1.3,0
Andrew Harrison,35,26.9,6.7,29.6,35.1,2.6,76.5,0.5,2.0,3.7,1.1,0.5,1.6,0
JaKarr Sampson,74,15.3,4.7,42.2,46.8,0.9,67.0,0.5,1.7,1.0,0.5,0.3,1.0,0
Malik Sealy,58,11.6,5.5,42.6,42.7,0.9,68.9,1.0,0.9,0.8,0.6,0.1,1.0,1
Matt Geiger,48,11.5,3.0,52.4,53.3,1.3,67.4,1.0,1.5,0.3,0.3,0.4,0.8,1
Tony Bennett,75,11.4,3.5,42.3,47.1,0.4,73.2,0.2,0.7,1.8,0.4,0.0,0.7,0
Don MacLean,62,10.9,5.8,43.5,43.1,1.5,81.1,0.5,1.4,0.6,0.2,0.1,0.7,1
Tracy Murray,48,10.3,5.4,41.5,46.3,0.7,87.5,0.8,0.9,0.2,0.2,0.1,0.7,1
Duane Cooper,65,9.9,2.4,39.2,43.8,0.4,71.4,0.2,0.6,2.3,0.3,0.0,1.1,0
Dave Johnson,42,8.5,3.5,38.3,41.4,1.0,67.8,0.4,0.7,0.3,0.2,0.0,0.7,0
Corey Williams,35,6.9,2.4,36.5,37.5,0.5,81.8,0.5,0.3,0.7,0.1,0.1,0.3,0
Sam Mack,40,6.7,3.0,39.8,41.7,1.1,77.6,0.5,0.8,0.4,0.3,0.1,0.6,1
Lorenzo Williams,27,6.6,1.3,47.2,46.2,0.1,28.6,0.6,1.4,0.2,0.2,0.6,0.3,1
P.J. Hairston,45,15.3,6.0,32.3,40.8,0.7,86.1,0.5,1.6,0.5,0.5,0.3,0.5,0
Elmore Spencer,44,6.4,1.9,53.7,52.6,0.4,50.0,0.4,1.0,0.2,0.2,0.4,0.6,1
John Crotty,40,6.1,1.8,51.4,52.8,0.7,68.4,0.1,0.3,1.4,0.3,0.0,0.8,1
Stephen Howard,49,5.3,1.9,37.6,36.8,0.7,64.2,0.5,0.7,0.2,0.3,0.2,0.5,0
Randy Woods,41,4.2,1.6,34.8,40.6,0.5,73.1,0.1,0.2,1.0,0.3,0.0,0.4,0
Larry Johnson,82,37.2,15.3,49.0,49.3,4.1,82.9,3.9,7.0,3.6,1.0,0.6,1.9,1
Billy Owens,80,31.4,11.1,52.5,53.2,2.6,65.4,3.0,5.0,2.4,1.1,0.8,2.2,1
Stacey Augmon,82,30.5,11.0,48.9,49.1,2.6,66.6,2.3,2.8,2.5,1.5,0.3,2.2,1
Mark Macon,76,30.3,11.7,37.5,38.0,1.8,73.0,1.1,1.8,2.2,2.0,0.2,2.0,1
Steven Smith,61,29.6,10.7,45.4,49.1,1.6,74.8,1.3,1.8,4.6,1.0,0.3,2.5,0
Mitch McGary,32,15.2,5.2,53.3,53.8,0.8,62.5,1.7,3.5,0.4,0.5,0.5,1.0,0
Larry Stewart,76,29.3,7.8,51.4,51.3,2.5,80.7,2.4,3.5,1.6,0.7,0.6,1.5,1
Mike Iuzzolino,52,24.6,6.8,45.1,53.7,2.1,83.6,0.5,1.4,3.7,0.6,0.0,1.8,0
